Age,Gender,Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Churn
23,Female,6,34.47,Month-to-Month,DSL,No,Bank Transfer,No
58,Female,17,83.8,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
57,Male,32,31.0,Month-to-Month,DSL,No,Bank Transfer,Yes
40,Male,55,48.34,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
60,Male,48,58.5,Month-to-Month,DSL,Yes,Credit Card,Yes
34,Male,25,68.37,Month-to-Month,No,No,Bank Transfer,No
26,Male,67,108.51,Month-to-Month,DSL,No,Bank Transfer,Yes
64,Female,8,24.6,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
37,Male,20,110.2,Two Year,DSL,No,Bank Transfer,No
45,Female,51,62.93,Month-to-Month,DSL,No,Mailed Check,Yes
70,Female,64,102.07,One Year,Fiber Optic,No,Credit Card,Yes
45,Male,22,55.55,One Year,Fiber Optic,No,Electronic Check,No
40,Female,29,14.56,Month-to-Month,DSL,No,Mailed Check,Yes
42,Male,52,70.88,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
19,Male,20,118.04,Month-to-Month,DSL,No,Credit Card,Yes
31,Female,17,44.97,One Year,No,No,Bank Transfer,No
29,Female,59,102.44,Month-to-Month,DSL,No,Mailed Check,Yes
28,Male,4,60.3,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
70,Male,38,55.39,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
68,Female,3,119.09,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
43,Male,68,102.53,One Year,DSL,No,Mailed Check,No
22,Female,5,119.71,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
43,Male,45,95.9,Two Year,Fiber Optic,Yes,Bank Transfer,No
43,Male,60,11.96,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
36,Female,47,12.12,One Year,Fiber Optic,No,Credit Card,No
35,Female,15,11.04,Two Year,DSL,Yes,Mailed Check,No
71,Male,23,54.0,Month-to-Month,DSL,No,Electronic Check,No
41,Male,49,34.38,Month-to-Month,DSL,No,Bank Transfer,No
23,Male,26,44.8,One Year,DSL,Yes,Electronic Check,No
54,Female,48,11.43,Month-to-Month,DSL,No,Electronic Check,No
44,Female,8,26.84,Two Year,Fiber Optic,No,Mailed Check,No
61,Male,38,92.7,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
58,Male,41,77.32,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
24,Female,1,57.92,Month-to-Month,DSL,No,Bank Transfer,Yes
50,Female,57,21.15,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
25,Female,60,105.76,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
27,Male,29,110.61,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
61,Female,49,104.88,Two Year,Fiber Optic,No,Credit Card,Yes
51,Female,54,47.13,Month-to-Month,DSL,No,Bank Transfer,Yes
45,Male,56,92.74,One Year,Fiber Optic,No,Mailed Check,Yes
44,Male,51,93.24,One Year,DSL,No,Electronic Check,No
66,Female,49,86.52,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
46,Female,60,75.37,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
65,Male,51,55.58,Month-to-Month,Fiber Optic,No,Credit Card,Yes
54,Female,46,14.43,One Year,No,No,Credit Card,No
53,Male,55,91.38,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
55,Female,5,78.31,Month-to-Month,DSL,No,Electronic Check,Yes
20,Male,63,75.76,One Year,Fiber Optic,No,Electronic Check,Yes
52,Female,55,95.4,Month-to-Month,Fiber Optic,No,Credit Card,Yes
33,Male,1,98.41,Month-to-Month,DSL,No,Credit Card,Yes
59,Male,59,93.51,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
55,Male,14,97.11,Two Year,DSL,Yes,Mailed Check,No
49,Female,40,50.94,One Year,Fiber Optic,No,Credit Card,No
40,Male,36,29.99,Two Year,DSL,Yes,Electronic Check,No
19,Female,27,76.3,Month-to-Month,DSL,No,Credit Card,No
25,Female,13,22.93,One Year,DSL,Yes,Electronic Check,No
62,Male,59,24.62,Month-to-Month,DSL,Yes,Bank Transfer,No
43,Female,28,38.8,One Year,Fiber Optic,No,Credit Card,No
71,Female,25,106.22,Month-to-Month,DSL,Yes,Bank Transfer,Yes
53,Female,63,68.58,Month-to-Month,DSL,No,Electronic Check,Yes
39,Female,70,95.47,One Year,Fiber Optic,No,Electronic Check,Yes
70,Male,14,45.58,One Year,DSL,Yes,Mailed Check,No
39,Female,15,93.85,Two Year,DSL,No,Credit Card,No
71,Male,12,101.62,Month-to-Month,DSL,No,Credit Card,No
21,Female,62,88.34,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
32,Male,54,110.74,One Year,Fiber Optic,Yes,Mailed Check,Yes
48,Female,12,71.35,One Year,Fiber Optic,No,Bank Transfer,No
20,Female,24,76.79,Two Year,DSL,No,Bank Transfer,No
34,Female,31,117.19,Month-to-Month,DSL,No,Credit Card,Yes
49,Male,22,83.66,Month-to-Month,DSL,No,Credit Card,Yes
32,Male,21,82.27,One Year,No,No,Credit Card,No
38,Female,19,22.94,One Year,DSL,No,Mailed Check,No
37,Female,65,50.25,Month-to-Month,DSL,No,Electronic Check,Yes
73,Male,42,11.32,Month-to-Month,DSL,No,Electronic Check,Yes
40,Female,69,37.88,Month-to-Month,DSL,Yes,Credit Card,No
72,Male,47,29.42,Month-to-Month,DSL,No,Electronic Check,No
68,Male,48,78.26,Two Year,DSL,No,Credit Card,No
30,Female,22,18.22,Month-to-Month,Fiber Optic,No,Bank Transfer,No
22,Male,4,110.15,Two Year,Fiber Optic,No,Bank Transfer,Yes
60,Male,11,44.85,Two Year,DSL,Yes,Mailed Check,No
28,Female,70,16.95,Month-to-Month,Fiber Optic,No,Credit Card,Yes
19,Female,9,75.54,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
47,Female,70,11.95,Month-to-Month,DSL,No,Bank Transfer,Yes
46,Female,39,34.96,Month-to-Month,DSL,No,Credit Card,Yes
64,Male,58,55.41,Month-to-Month,DSL,Yes,Electronic Check,No
54,Male,38,97.02,Month-to-Month,DSL,No,Bank Transfer,Yes
60,Female,43,46.39,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
54,Male,41,14.85,Month-to-Month,Fiber Optic,No,Credit Card,Yes
58,Male,50,43.99,Month-to-Month,DSL,Yes,Mailed Check,No
59,Female,67,63.99,Month-to-Month,No,No,Credit Card,No
49,Female,51,74.93,Month-to-Month,DSL,No,Credit Card,No
67,Male,71,59.35,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
26,Male,19,79.3,One Year,DSL,No,Bank Transfer,Yes
58,Female,28,31.77,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
65,Male,12,70.19,Two Year,No,Yes,Credit Card,No
49,Female,69,58.54,Month-to-Month,DSL,No,Electronic Check,Yes
18,Female,59,106.59,One Year,DSL,Yes,Bank Transfer,No
35,Male,63,111.3,Month-to-Month,No,No,Credit Card,No
54,Female,29,115.91,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
51,Female,25,14.23,One Year,DSL,No,Mailed Check,Yes
61,Female,28,63.48,One Year,DSL,Yes,Electronic Check,No
48,Female,71,61.72,Month-to-Month,DSL,No,Electronic Check,No
43,Female,64,16.02,One Year,Fiber Optic,No,Electronic Check,No
29,Male,67,58.21,One Year,Fiber Optic,No,Credit Card,No
42,Male,3,11.93,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
73,Male,18,28.45,One Year,No,No,Credit Card,No
64,Female,10,90.79,Month-to-Month,DSL,Yes,Credit Card,No
36,Female,21,85.91,Two Year,Fiber Optic,No,Electronic Check,No
18,Female,70,67.5,Month-to-Month,DSL,No,Credit Card,No
21,Female,19,33.18,One Year,DSL,Yes,Bank Transfer,No
52,Male,22,32.12,One Year,Fiber Optic,No,Mailed Check,Yes
46,Female,23,17.2,Month-to-Month,DSL,No,Mailed Check,Yes
58,Female,37,51.02,Two Year,DSL,No,Electronic Check,No
30,Male,7,45.53,One Year,Fiber Optic,No,Bank Transfer,Yes
62,Male,50,90.31,One Year,Fiber Optic,Yes,Bank Transfer,No
67,Male,59,61.61,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
38,Female,9,89.01,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
56,Male,35,87.03,One Year,DSL,No,Mailed Check,No
72,Male,2,119.03,Month-to-Month,DSL,No,Bank Transfer,Yes
71,Male,18,15.03,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
54,Female,59,84.97,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
69,Female,53,27.47,One Year,Fiber Optic,Yes,Credit Card,No
66,Female,20,80.1,Month-to-Month,DSL,Yes,Electronic Check,No
56,Female,65,15.58,Month-to-Month,DSL,Yes,Bank Transfer,Yes
49,Male,40,98.38,One Year,Fiber Optic,No,Bank Transfer,Yes
50,Female,61,40.69,Month-to-Month,Fiber Optic,No,Credit Card,Yes
22,Female,27,72.91,One Year,Fiber Optic,No,Electronic Check,Yes
43,Female,69,28.08,Month-to-Month,DSL,No,Mailed Check,Yes
70,Female,55,66.16,One Year,Fiber Optic,No,Mailed Check,Yes
40,Female,64,41.6,Month-to-Month,DSL,No,Mailed Check,No
23,Female,16,108.64,Month-to-Month,DSL,No,Credit Card,No
67,Male,34,21.31,Two Year,Fiber Optic,Yes,Bank Transfer,Yes
74,Male,25,31.33,One Year,No,No,Electronic Check,No
73,Male,26,33.76,Month-to-Month,DSL,No,Bank Transfer,No
72,Female,38,81.64,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
43,Male,27,78.78,Month-to-Month,DSL,No,Credit Card,No
73,Male,4,107.99,Month-to-Month,DSL,No,Electronic Check,No
50,Male,65,26.48,Month-to-Month,DSL,No,Credit Card,Yes
63,Male,10,41.49,One Year,Fiber Optic,Yes,Credit Card,No
72,Male,61,92.09,One Year,Fiber Optic,Yes,Bank Transfer,No
35,Female,11,108.4,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
54,Female,51,28.34,One Year,Fiber Optic,No,Bank Transfer,Yes
60,Male,23,95.37,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
20,Female,67,93.04,One Year,DSL,No,Electronic Check,No
52,Female,2,81.75,Month-to-Month,DSL,Yes,Electronic Check,No
37,Female,11,118.11,One Year,DSL,Yes,Credit Card,No
26,Male,27,31.97,Two Year,Fiber Optic,No,Electronic Check,Yes
59,Male,50,41.03,Month-to-Month,Fiber Optic,No,Bank Transfer,No
55,Male,45,62.78,Two Year,Fiber Optic,No,Credit Card,No
59,Female,23,11.0,One Year,Fiber Optic,No,Credit Card,No
73,Female,26,67.5,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
53,Male,65,92.15,Month-to-Month,Fiber Optic,No,Credit Card,Yes
27,Male,53,44.3,One Year,DSL,No,Mailed Check,No
54,Male,47,35.22,Month-to-Month,No,No,Electronic Check,No
54,Male,47,110.14,Month-to-Month,DSL,No,Mailed Check,Yes
60,Male,33,47.46,One Year,DSL,Yes,Electronic Check,No
72,Male,67,89.63,One Year,No,No,Credit Card,No
45,Female,30,84.51,Two Year,DSL,No,Credit Card,Yes
30,Male,64,32.9,Month-to-Month,DSL,Yes,Mailed Check,Yes
34,Male,40,103.4,Month-to-Month,DSL,No,Mailed Check,No
64,Male,55,97.71,Month-to-Month,DSL,No,Credit Card,Yes
45,Male,39,100.92,Month-to-Month,DSL,No,Electronic Check,No
26,Female,13,117.65,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
61,Female,41,68.68,Two Year,Fiber Optic,No,Electronic Check,No
48,Male,16,91.63,Month-to-Month,DSL,No,Credit Card,No
65,Male,50,48.11,Month-to-Month,DSL,No,Electronic Check,No
27,Female,2,98.46,Month-to-Month,DSL,No,Mailed Check,Yes
52,Female,14,119.21,Two Year,Fiber Optic,No,Bank Transfer,No
25,Male,37,88.31,Two Year,No,No,Mailed Check,Yes
30,Female,24,24.57,Two Year,Fiber Optic,Yes,Credit Card,Yes
29,Male,1,23.28,Month-to-Month,Fiber Optic,Yes,Mailed Check,No
28,Male,12,115.74,Month-to-Month,Fiber Optic,No,Credit Card,Yes
46,Female,2,96.38,One Year,Fiber Optic,No,Mailed Check,Yes
44,Female,31,104.5,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
73,Female,68,119.7,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
43,Female,28,59.0,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
43,Male,38,78.98,Two Year,Fiber Optic,Yes,Mailed Check,No
34,Male,47,86.52,Two Year,Fiber Optic,No,Bank Transfer,Yes
67,Male,52,100.2,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
33,Male,55,110.77,Month-to-Month,No,Yes,Bank Transfer,Yes
62,Female,27,39.58,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
63,Female,24,39.22,Month-to-Month,No,No,Bank Transfer,Yes
18,Male,36,42.92,One Year,Fiber Optic,No,Electronic Check,No
56,Female,66,88.21,Month-to-Month,DSL,No,Mailed Check,Yes
42,Female,24,72.66,One Year,DSL,Yes,Mailed Check,No
50,Male,26,21.55,Month-to-Month,DSL,No,Electronic Check,No
41,Male,10,74.38,Month-to-Month,DSL,Yes,Mailed Check,No
46,Male,42,46.41,Month-to-Month,Fiber Optic,No,Credit Card,No
71,Female,37,110.78,One Year,Fiber Optic,No,Electronic Check,Yes
47,Male,3,47.27,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
36,Male,56,26.62,One Year,DSL,No,Electronic Check,No
18,Female,65,108.34,Month-to-Month,DSL,Yes,Electronic Check,Yes
32,Female,12,24.51,Two Year,Fiber Optic,No,Credit Card,No
34,Male,35,88.81,One Year,DSL,No,Mailed Check,Yes
65,Male,62,96.56,Two Year,DSL,No,Electronic Check,No
61,Male,34,75.46,Month-to-Month,Fiber Optic,No,Mailed Check,No
18,Male,63,36.76,One Year,Fiber Optic,No,Electronic Check,Yes
39,Female,24,38.1,One Year,Fiber Optic,No,Bank Transfer,No
22,Male,8,12.17,Month-to-Month,DSL,Yes,Bank Transfer,No
22,Male,55,32.62,Month-to-Month,Fiber Optic,No,Credit Card,Yes
72,Female,48,98.66,Month-to-Month,No,No,Credit Card,Yes
45,Female,34,116.2,Month-to-Month,DSL,No,Bank Transfer,Yes
70,Male,3,48.71,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
41,Female,66,99.97,One Year,Fiber Optic,No,Bank Transfer,Yes
54,Male,11,22.27,One Year,Fiber Optic,No,Electronic Check,Yes
53,Female,23,105.17,Month-to-Month,DSL,No,Credit Card,No
50,Female,59,52.37,One Year,DSL,Yes,Bank Transfer,No
69,Male,15,24.02,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
27,Female,62,89.3,One Year,Fiber Optic,Yes,Credit Card,No
46,Male,67,31.96,Two Year,DSL,Yes,Bank Transfer,No
71,Female,27,53.67,Month-to-Month,Fiber Optic,No,Credit Card,Yes
33,Male,35,12.76,Month-to-Month,Fiber Optic,No,Credit Card,Yes
48,Female,53,74.91,Two Year,Fiber Optic,No,Credit Card,Yes
29,Male,35,83.07,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
35,Male,58,115.94,One Year,DSL,Yes,Mailed Check,No
65,Female,26,99.24,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
33,Female,9,13.2,Month-to-Month,No,No,Bank Transfer,Yes
44,Male,31,98.23,Two Year,DSL,Yes,Bank Transfer,No
23,Female,46,13.26,One Year,No,No,Bank Transfer,No
60,Female,24,95.89,Month-to-Month,Fiber Optic,Yes,Mailed Check,No
59,Female,71,97.6,Month-to-Month,Fiber Optic,Yes,Credit Card,No
18,Male,32,54.15,Month-to-Month,Fiber Optic,No,Credit Card,Yes
64,Male,62,93.93,One Year,Fiber Optic,No,Mailed Check,No
68,Female,58,37.11,Month-to-Month,No,Yes,Electronic Check,Yes
28,Female,10,40.34,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
51,Male,66,20.65,Two Year,Fiber Optic,No,Bank Transfer,No
39,Female,64,61.16,One Year,DSL,No,Electronic Check,No
72,Female,32,111.27,Month-to-Month,DSL,No,Bank Transfer,No
72,Male,10,12.59,Month-to-Month,Fiber Optic,No,Credit Card,Yes
20,Male,33,23.84,Month-to-Month,Fiber Optic,No,Credit Card,No
74,Male,21,25.86,Month-to-Month,DSL,Yes,Bank Transfer,Yes
41,Female,59,107.01,One Year,DSL,Yes,Mailed Check,No
33,Female,17,39.58,Two Year,No,No,Bank Transfer,No
50,Male,63,36.96,One Year,Fiber Optic,No,Bank Transfer,No
60,Female,16,54.23,Month-to-Month,DSL,No,Mailed Check,Yes
61,Female,6,12.83,Month-to-Month,DSL,No,Credit Card,Yes
32,Female,47,79.91,Month-to-Month,DSL,Yes,Bank Transfer,No
18,Female,13,73.25,One Year,DSL,No,Bank Transfer,Yes
43,Female,58,40.58,One Year,DSL,No,Bank Transfer,No
54,Female,39,87.5,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
42,Male,7,108.0,One Year,No,No,Bank Transfer,Yes
49,Male,71,83.48,Month-to-Month,DSL,No,Bank Transfer,Yes
37,Female,66,40.65,Month-to-Month,Fiber Optic,No,Credit Card,Yes
65,Male,25,80.48,Month-to-Month,DSL,No,Mailed Check,Yes
54,Male,67,108.6,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
20,Female,47,94.98,Month-to-Month,Fiber Optic,No,Credit Card,Yes
46,Male,23,13.91,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
47,Female,30,52.18,Two Year,Fiber Optic,No,Electronic Check,Yes
21,Female,68,46.61,Month-to-Month,DSL,No,Electronic Check,No
68,Female,66,91.93,One Year,Fiber Optic,Yes,Electronic Check,Yes
72,Female,67,36.33,One Year,DSL,No,Credit Card,Yes
33,Male,49,45.02,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
20,Female,34,36.76,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
50,Female,9,17.51,Month-to-Month,DSL,Yes,Electronic Check,No
30,Female,67,46.24,Month-to-Month,DSL,Yes,Mailed Check,Yes
39,Male,60,44.86,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
68,Male,20,45.43,Month-to-Month,No,No,Electronic Check,Yes
18,Female,18,87.5,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
70,Female,18,72.39,One Year,DSL,No,Electronic Check,No
72,Male,31,114.88,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
53,Male,4,11.54,Month-to-Month,Fiber Optic,Yes,Credit Card,No
48,Female,9,57.16,One Year,Fiber Optic,No,Credit Card,Yes
53,Male,58,106.68,One Year,Fiber Optic,Yes,Electronic Check,Yes
34,Female,57,77.16,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
36,Male,25,64.9,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
59,Female,70,103.05,Two Year,Fiber Optic,No,Mailed Check,Yes
71,Male,64,25.13,Two Year,Fiber Optic,Yes,Electronic Check,No
61,Female,62,117.79,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
51,Female,54,51.71,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
49,Female,26,15.19,Month-to-Month,DSL,Yes,Credit Card,No
34,Female,5,115.21,Two Year,DSL,Yes,Mailed Check,No
47,Female,12,56.18,Two Year,Fiber Optic,Yes,Bank Transfer,Yes
52,Male,44,98.31,One Year,Fiber Optic,No,Mailed Check,Yes
40,Female,69,81.79,Month-to-Month,No,No,Bank Transfer,Yes
50,Male,11,53.44,One Year,Fiber Optic,No,Electronic Check,Yes
67,Male,58,112.69,Month-to-Month,DSL,No,Electronic Check,Yes
49,Female,60,89.13,One Year,DSL,No,Bank Transfer,Yes
21,Male,71,55.84,Two Year,No,No,Electronic Check,No
65,Male,3,10.46,One Year,Fiber Optic,No,Electronic Check,No
64,Female,47,91.1,Month-to-Month,No,Yes,Electronic Check,No
39,Female,58,75.98,One Year,Fiber Optic,No,Mailed Check,No
68,Female,5,102.63,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
33,Male,9,93.6,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
41,Female,68,40.24,One Year,DSL,No,Electronic Check,Yes
25,Male,50,34.5,One Year,DSL,Yes,Electronic Check,No
27,Male,33,50.59,Month-to-Month,No,No,Mailed Check,No
48,Female,5,57.25,Month-to-Month,No,No,Electronic Check,Yes
31,Female,29,109.08,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
21,Female,19,116.68,Month-to-Month,DSL,No,Mailed Check,No
51,Male,39,68.38,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
49,Female,64,30.18,Month-to-Month,DSL,No,Bank Transfer,No
27,Male,9,58.35,Two Year,Fiber Optic,No,Bank Transfer,Yes
55,Female,24,85.29,Month-to-Month,DSL,Yes,Credit Card,No
28,Female,70,70.11,Month-to-Month,Fiber Optic,Yes,Bank Transfer,No
68,Female,9,100.41,Month-to-Month,DSL,No,Electronic Check,No
64,Male,69,19.3,One Year,Fiber Optic,Yes,Credit Card,No
34,Female,35,29.17,One Year,Fiber Optic,No,Electronic Check,No
69,Female,29,35.82,Month-to-Month,DSL,No,Credit Card,Yes
61,Male,63,88.26,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
56,Female,30,78.66,One Year,Fiber Optic,No,Credit Card,No
36,Female,64,47.99,Two Year,No,No,Mailed Check,Yes
49,Male,21,118.35,One Year,DSL,No,Electronic Check,Yes
47,Female,13,91.73,Month-to-Month,DSL,No,Mailed Check,Yes
41,Male,15,49.26,Month-to-Month,Fiber Optic,No,Electronic Check,No
70,Male,29,38.84,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
33,Male,18,73.08,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
27,Female,9,63.68,Month-to-Month,DSL,No,Bank Transfer,No
72,Female,21,80.58,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
30,Female,58,103.62,Month-to-Month,Fiber Optic,No,Credit Card,Yes
51,Male,4,64.7,Month-to-Month,DSL,Yes,Bank Transfer,No
31,Male,3,35.97,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
65,Female,16,51.38,One Year,No,Yes,Credit Card,No
60,Female,50,98.77,One Year,DSL,No,Electronic Check,No
37,Female,46,41.68,Two Year,Fiber Optic,Yes,Electronic Check,No
29,Male,19,96.16,Month-to-Month,DSL,No,Electronic Check,Yes
25,Female,12,99.45,Month-to-Month,DSL,No,Mailed Check,Yes
66,Female,30,91.02,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
28,Female,11,79.16,One Year,Fiber Optic,Yes,Bank Transfer,Yes
66,Male,19,81.18,Month-to-Month,DSL,No,Electronic Check,No
26,Female,26,12.44,Two Year,Fiber Optic,Yes,Electronic Check,Yes
31,Female,44,100.77,Month-to-Month,DSL,No,Bank Transfer,Yes
38,Female,38,17.38,One Year,Fiber Optic,No,Credit Card,No
74,Male,6,114.66,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
43,Male,39,104.2,Two Year,Fiber Optic,Yes,Electronic Check,Yes
73,Female,49,76.17,Month-to-Month,DSL,No,Electronic Check,Yes
47,Male,13,48.72,Month-to-Month,DSL,No,Credit Card,Yes
22,Male,42,56.54,Month-to-Month,DSL,No,Bank Transfer,No
33,Female,40,66.76,Month-to-Month,DSL,Yes,Electronic Check,No
52,Male,62,19.37,Month-to-Month,No,Yes,Mailed Check,No
60,Male,55,59.87,One Year,No,No,Mailed Check,No
29,Male,7,44.44,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
68,Female,34,99.46,Two Year,Fiber Optic,Yes,Mailed Check,Yes
71,Female,8,63.75,Month-to-Month,DSL,No,Credit Card,Yes
61,Male,67,53.66,Month-to-Month,No,No,Credit Card,Yes
20,Female,23,16.06,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
30,Female,29,64.87,Two Year,DSL,No,Credit Card,Yes
30,Female,52,82.62,Month-to-Month,No,No,Credit Card,Yes
48,Female,51,23.59,One Year,DSL,No,Mailed Check,No
68,Female,45,37.27,Two Year,Fiber Optic,No,Bank Transfer,Yes
29,Female,3,41.39,One Year,DSL,No,Bank Transfer,No
40,Male,22,107.28,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
34,Male,62,89.5,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
61,Female,70,23.26,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
23,Male,33,98.98,One Year,Fiber Optic,No,Electronic Check,No
60,Male,30,29.92,One Year,No,No,Bank Transfer,No
63,Female,17,92.43,Month-to-Month,DSL,No,Credit Card,Yes
37,Female,21,106.85,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
31,Male,25,65.53,Two Year,Fiber Optic,No,Mailed Check,No
42,Male,5,46.57,Two Year,Fiber Optic,No,Mailed Check,Yes
48,Female,45,24.37,Month-to-Month,DSL,No,Electronic Check,Yes
30,Female,65,38.05,One Year,No,No,Electronic Check,No
26,Male,4,81.12,One Year,DSL,Yes,Bank Transfer,No
32,Female,49,58.82,Month-to-Month,DSL,Yes,Bank Transfer,No
33,Male,38,105.43,Two Year,Fiber Optic,No,Credit Card,No
43,Male,65,73.6,Two Year,No,Yes,Credit Card,No
29,Male,41,115.61,One Year,Fiber Optic,No,Bank Transfer,No
35,Male,36,115.94,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
44,Male,16,48.93,Month-to-Month,DSL,No,Electronic Check,No
63,Male,67,20.27,Month-to-Month,DSL,No,Electronic Check,Yes
33,Male,22,44.37,Month-to-Month,No,No,Electronic Check,Yes
70,Male,15,45.46,Month-to-Month,DSL,No,Electronic Check,Yes
68,Female,58,80.37,Two Year,Fiber Optic,Yes,Credit Card,No
71,Female,24,34.06,Month-to-Month,DSL,No,Bank Transfer,Yes
60,Male,37,79.86,One Year,Fiber Optic,Yes,Credit Card,Yes
25,Female,58,95.32,One Year,Fiber Optic,Yes,Bank Transfer,No
22,Male,55,12.4,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
74,Male,13,83.03,Two Year,Fiber Optic,No,Mailed Check,No
26,Male,2,44.27,One Year,DSL,No,Electronic Check,No
37,Female,48,59.54,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
49,Male,56,81.62,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
47,Male,19,42.24,Month-to-Month,DSL,No,Credit Card,Yes
29,Male,41,116.91,One Year,Fiber Optic,No,Credit Card,No
46,Female,56,94.87,One Year,Fiber Optic,No,Electronic Check,Yes
55,Male,56,73.59,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
65,Male,31,40.05,One Year,No,Yes,Mailed Check,No
20,Female,35,35.31,Month-to-Month,Fiber Optic,No,Credit Card,Yes
24,Female,45,26.22,One Year,No,No,Electronic Check,No
34,Male,55,60.25,One Year,Fiber Optic,Yes,Credit Card,No
25,Female,31,112.43,Two Year,Fiber Optic,No,Electronic Check,Yes
61,Male,26,96.6,Month-to-Month,No,No,Credit Card,Yes
71,Female,49,14.3,Two Year,Fiber Optic,Yes,Electronic Check,No
64,Male,44,100.53,One Year,DSL,Yes,Mailed Check,No
47,Male,22,82.87,One Year,No,No,Bank Transfer,No
33,Female,17,79.0,Month-to-Month,Fiber Optic,Yes,Credit Card,No
34,Female,59,32.55,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
33,Female,13,60.45,Two Year,No,Yes,Mailed Check,No
30,Male,49,103.57,Month-to-Month,DSL,No,Electronic Check,Yes
